"","ATF3 (85g)","ATF4 (35g)","BCLAF1 (956g)","BHLHE41 (11g)","CEBPA (18g)","CEBPB (56g)","CEBPD (18g)","CHD1 (11g)","CREB3L1 (43g)","DDIT3 (25g)","ELF2 (96g)","ELK3 (12g)","FOS (11g)","FOSB (19g)","FOXO3 (52g)","FOXP1 (25g)","GABPA (16g)","GTF2F1 (35g)","HDAC1 (60g)","IRF1 (77g)","IRF7 (36g)","JUN (21g)","JUNB (30g)","JUND (21g)","KLF10 (13g)","KLF13 (13g)","MAX (33g)","NFKB1 (20g)","NFYC (22g)","POLR2A (27g)","SIX1 (18g)","SMAD1 (17g)","SMAD5 (214g)","SP1 (39g)","STAT1 (269g)","TAF1 (31g)","TBL1XR1 (13g)","UQCRB (1160g)","XBP1 (269g)","YY1 (717g)","ZBTB7A (15g)","ZMIZ1 (16g)"
"KLF10 (13g)",0.976190476190476,0.833333333333333,0.714285714285714,0.476190476190476,0.857142857142857,0.928571428571429,0.404761904761905,0.80952380952381,0.642857142857143,0.761904761904762,0.857142857142857,0.69047619047619,0.904761904761905,1,0.976190476190476,0.380952380952381,0.785714285714286,0.857142857142857,0.5,0.80952380952381,0.380952380952381,0.880952380952381,0.952380952380952,0.880952380952381,1,0.928571428571429,0.452380952380952,0.761904761904762,0.738095238095238,0.619047619047619,0.976190476190476,0.80952380952381,0.214285714285714,0.952380952380952,0.166666666666667,0.714285714285714,0.5,0.595238095238095,0.928571428571429,0.5,0.928571428571429,0.714285714285714
"KLF13 (13g)",0.80952380952381,0.69047619047619,0.357142857142857,0.976190476190476,0.523809523809524,0.761904761904762,0.214285714285714,0.69047619047619,0.595238095238095,0.619047619047619,0.952380952380952,0.857142857142857,0.785714285714286,0.880952380952381,1,0.523809523809524,0.904761904761905,0.952380952380952,0.595238095238095,0.380952380952381,0.738095238095238,0.69047619047619,0.69047619047619,0.714285714285714,0.928571428571429,1,0.928571428571429,0.976190476190476,0.880952380952381,0.666666666666667,0.976190476190476,0.976190476190476,0.428571428571429,0.714285714285714,0.333333333333333,0.904761904761905,0.738095238095238,0.166666666666667,0.833333333333333,0.19047619047619,0.952380952380952,0.80952380952381
"MAX (33g)",0.666666666666667,0.761904761904762,0.119047619047619,1,0.380952380952381,1,0.285714285714286,0.666666666666667,0.880952380952381,0.928571428571429,1,0.833333333333333,0.428571428571429,0.595238095238095,0.738095238095238,0.428571428571429,0.857142857142857,0.928571428571429,0.595238095238095,0.976190476190476,0.738095238095238,0.214285714285714,0.333333333333333,0.380952380952381,0.452380952380952,0.928571428571429,1,0.833333333333333,0.80952380952381,0.976190476190476,0.69047619047619,0.976190476190476,0.595238095238095,0.80952380952381,0.571428571428571,0.976190476190476,0.642857142857143,0.166666666666667,0.880952380952381,0.0714285714285714,0.571428571428571,0.904761904761905
"NFKB1 (20g)",0.285714285714286,0.595238095238095,0.5,0.761904761904762,0.976190476190476,0.571428571428571,0.404761904761905,0.857142857142857,0.928571428571429,0.666666666666667,0.928571428571429,0.69047619047619,0.333333333333333,0.69047619047619,0.761904761904762,0.80952380952381,0.833333333333333,0.928571428571429,0.761904761904762,0.404761904761905,0.69047619047619,0.0952380952380952,0.166666666666667,0.523809523809524,0.761904761904762,0.976190476190476,0.833333333333333,1,0.904761904761905,0.880952380952381,1,0.80952380952381,0.619047619047619,1,0.476190476190476,0.952380952380952,0.666666666666667,0.19047619047619,0.761904761904762,0.333333333333333,0.928571428571429,0.904761904761905
"NFYC (22g)",0.285714285714286,0.476190476190476,0.238095238095238,0.642857142857143,0.928571428571429,0.69047619047619,0.69047619047619,0.833333333333333,0.880952380952381,0.738095238095238,0.952380952380952,0.523809523809524,0.333333333333333,0.571428571428571,0.69047619047619,0.80952380952381,0.928571428571429,0.714285714285714,0.952380952380952,0.571428571428571,0.785714285714286,0.238095238095238,0.214285714285714,0.380952380952381,0.738095238095238,0.880952380952381,0.80952380952381,0.904761904761905,1,0.857142857142857,0.904761904761905,0.928571428571429,0.880952380952381,1,0.80952380952381,0.976190476190476,0.761904761904762,0.452380952380952,0.523809523809524,0.428571428571429,0.642857142857143,0.738095238095238
"POLR2A (27g)",0.523809523809524,0.380952380952381,0.30952380952381,0.69047619047619,0.571428571428571,0.476190476190476,0.80952380952381,0.904761904761905,0.523809523809524,0.714285714285714,1,0.904761904761905,0.476190476190476,0.571428571428571,0.619047619047619,0.857142857142857,0.80952380952381,0.738095238095238,0.904761904761905,0.880952380952381,0.880952380952381,0.214285714285714,0.428571428571429,0.619047619047619,0.619047619047619,0.666666666666667,0.976190476190476,0.880952380952381,0.857142857142857,1,0.547619047619048,0.928571428571429,1,0.976190476190476,0.904761904761905,0.904761904761905,0.857142857142857,0.642857142857143,0.214285714285714,0.547619047619048,0.857142857142857,0.904761904761905
"SIX1 (18g)",0.666666666666667,0.880952380952381,0.69047619047619,0.80952380952381,0.976190476190476,0.904761904761905,0.0714285714285714,0.952380952380952,0.785714285714286,0.333333333333333,0.69047619047619,0.904761904761905,0.80952380952381,0.904761904761905,0.976190476190476,0.333333333333333,0.976190476190476,1,0.333333333333333,0.166666666666667,0.261904761904762,0.785714285714286,0.69047619047619,0.904761904761905,0.976190476190476,0.976190476190476,0.69047619047619,1,0.904761904761905,0.547619047619048,1,0.785714285714286,0.166666666666667,0.785714285714286,0.0714285714285714,0.642857142857143,0.452380952380952,0.0952380952380952,1,0.142857142857143,1,0.69047619047619
"SMAD1 (17g)",0.642857142857143,0.571428571428571,0.238095238095238,0.666666666666667,0.5,0.714285714285714,0.380952380952381,0.976190476190476,0.69047619047619,0.857142857142857,0.976190476190476,0.738095238095238,0.238095238095238,0.714285714285714,0.880952380952381,0.69047619047619,0.666666666666667,0.785714285714286,0.80952380952381,0.595238095238095,0.857142857142857,0.30952380952381,0.333333333333333,0.595238095238095,0.80952380952381,0.976190476190476,0.976190476190476,0.80952380952381,0.928571428571429,0.928571428571429,0.785714285714286,1,0.80952380952381,1,0.666666666666667,0.880952380952381,0.928571428571429,0.261904761904762,0.452380952380952,0.238095238095238,0.833333333333333,1
"SMAD5 (214g)",0.523809523809524,0.0714285714285714,0.833333333333333,0.619047619047619,0.761904761904762,0.142857142857143,0.928571428571429,0.714285714285714,0.119047619047619,0.166666666666667,0.880952380952381,0.80952380952381,0.761904761904762,0.261904761904762,0.404761904761905,1,0.69047619047619,0.30952380952381,1,0.904761904761905,0.976190476190476,0.666666666666667,0.738095238095238,1,0.214285714285714,0.428571428571429,0.595238095238095,0.619047619047619,0.880952380952381,1,0.166666666666667,0.80952380952381,1,0.904761904761905,1,0.952380952380952,1,0.976190476190476,0.0476190476190476,0.952380952380952,0.380952380952381,0.80952380952381
"SP1 (39g)",0.523809523809524,0.214285714285714,0.166666666666667,0.785714285714286,0.904761904761905,0.428571428571429,0.619047619047619,1,0.476190476190476,0.428571428571429,1,0.69047619047619,0.333333333333333,0.785714285714286,0.880952380952381,0.833333333333333,0.976190476190476,0.976190476190476,0.976190476190476,0.666666666666667,0.857142857142857,0.19047619047619,0.261904761904762,0.714285714285714,0.952380952380952,0.714285714285714,0.80952380952381,1,1,0.976190476190476,0.785714285714286,1,0.904761904761905,1,0.80952380952381,0.976190476190476,0.952380952380952,0.380952380952381,0.333333333333333,0.428571428571429,0.857142857142857,0.928571428571429
"STAT1 (269g)",0.738095238095238,0.142857142857143,0.904761904761905,0.571428571428571,0.761904761904762,0.261904761904762,0.976190476190476,0.547619047619048,0.357142857142857,0.380952380952381,0.642857142857143,0.714285714285714,0.833333333333333,0.30952380952381,0.166666666666667,0.952380952380952,0.452380952380952,0.19047619047619,0.976190476190476,1,1,0.80952380952381,0.857142857142857,0.880952380952381,0.166666666666667,0.333333333333333,0.571428571428571,0.476190476190476,0.80952380952381,0.904761904761905,0.0714285714285714,0.666666666666667,1,0.80952380952381,1,0.857142857142857,0.952380952380952,1,0.0714285714285714,0.952380952380952,0.261904761904762,0.69047619047619
