"","Low","High"
"GTF2F1_extended (51g)",0.51566877057708,0.150709056378503
"GTF2F1 (35g)",0.484891666249534,0.143529361513427
"KLF13_extended (32g)",0.491803112444991,0.152827035770372
"KLF13 (13g)",0.304736187829848,0.116370054602744
"FOXN3_extended (36g)",0.487120869858887,0.155216188885528
"TBL1XR1_extended (19g)",0.415185900787159,0.133983386495597
"TBL1XR1 (13g)",0.392427833868281,0.127412018510071
"HDAC2_extended (49g)",0.616016452666192,0.173151308144342
"ELK3_extended (107g)",0.587015647703621,0.162464639155805
"ELK3 (12g)",0.302091785751609,0.11341602983484
"ATF1_extended (17g)",0.390747686697488,0.137335556464186
"IRF7_extended (44g)",0.459208788687373,0.152631852924795
"IRF7 (36g)",0.437081355627336,0.149119965236041
"JUND_extended (564g)",0.694845052467362,0.181320090662032
"JUND (21g)",0.62566635862097,0.177406599702435
"FOXP1 (25g)",0.621872214319242,0.174832500234378
"HDAC1 (60g)",0.596617714963883,0.17124620802928
"SMARCA4_extended (193g)",0.667678393972711,0.173511817752858
"ZNF91_extended (54g)",0.608382627589958,0.161176225401582
