,logFC,AveExpr,t,P.Value,adj.P.Val,B
NCAPGP2,-1.73913624387708,0.401780041714922,-27.9849329227787,3.26663034060391e-107,5.66260761807392e-104,233.966874397368
SPAAR,-2.06261738578948,1.53624113954701,-27.7125373930758,7.39883406573898e-106,1.24592137761864e-102,230.863584258752
FREM3,-1.09713077848774,0.213228362320178,-27.4562572968066,1.40024892752932e-104,2.29244086918676e-101,227.938851809134
KCNA4,-1.61613280283291,0.339979140288065,-27.444714722288,1.59870899820967e-104,2.54661380909409e-101,227.807013315045
RP4-575N6.5,-1.3581955011375,0.549906528240709,-27.3021407944184,8.22494458027401e-104,1.2756889044005e-100,226.177767206647
AC104237.2,-1.52291101547045,0.390739796764405,-27.2581285210692,1.36411696040003e-103,2.06149552338608e-100,225.674535412838
ANGPTL7,-1.99880559946332,0.495518100650287,-26.9153802706749,7.04424133347351e-102,1.03793373928065e-98,221.751099737557
GRIA1,-2.64049311249933,0.854274787117625,-26.8350307780738,1.77778589162181e-101,2.5555888995221e-98,220.830222470478
AC104237.3,-1.82721872826933,0.505043401821241,-26.8200957092122,2.11168669562999e-101,2.96329977302477e-98,220.659007739982
FABP4,-5.61562149387195,3.1113765546436,-26.7383107634213,5.42087451869064e-101,7.43012796238579e-98,219.721180505039
RXFP1,-1.96923251662005,0.865827146405014,-26.7243310180012,6.36903983145489e-101,8.53132885423383e-98,219.560832983217
MYZAP,-2.92416161321276,1.87428429463996,-26.5819298081638,3.29192607859839e-100,4.3115453160096e-97,217.92680740829
FENDRR,-3.38548068942832,1.58527688940768,-26.3971605530369,2.77872388196653e-99,3.56027017729008e-96,215.804803092361
FAM107A,-4.50992343132576,2.8340695721252,-26.3059927901478,7.96622532283673e-99,9.98964655483726e-96,214.75704544501
JPH4,-1.57956238263149,0.833410414080521,-26.2532558575989,1.46533090626477e-98,1.79924318652986e-95,214.150744606248
LINC00163,-1.04834441975459,0.291223539524054,-26.1924022430348,2.96099422820389e-98,3.56153220044655e-95,213.450936547778
NECAB1,-2.61971789530397,1.31417084302627,-26.1884450233723,3.09960882237948e-98,3.65369489546804e-95,213.405422017887
LGI3,-4.73386900560938,1.69067451151003,-26.1195962091071,6.87158491729265e-98,7.94112689912538e-95,212.613411178752
CNTN6,-2.71365033235554,0.965720788663462,-26.0207380092122,2.15624881211447e-97,2.44394216323851e-94,211.475739670665
CA4,-4.27711007378724,1.80324109844617,-25.9544225261126,4.64488808676924e-97,5.16529083128313e-94,210.712286398909
C20orf202,-1.47756740185719,0.814355269556537,-25.9340492477586,5.88007558388493e-97,6.41777582894463e-94,210.477694695465
OTC,-1.25436199456523,0.318662139985786,-25.8235842582371,2.11250421949467e-96,2.26375952161049e-93,209.205361008348
FXYD1,-2.15727624114478,1.14918455320593,-25.8025240242946,2.6959824578183e-96,2.83742525176598e-93,208.962720710505
PYCR1,3.46430308045871,6.41909300807897,25.6815326123037,1.09497212471425e-95,1.13220117695453e-92,207.568331343915
MIR3945HG,-2.7270784787888,1.34445376494764,-25.6146389761536,2.37716464614225e-95,2.415609136454e-92,206.797104527702
STX11,-3.10460643603593,3.64811698031863,-25.5160719006956,7.45207877081004e-95,7.3201769765667e-92,205.660335364573
HID1-AS1,-1.6376468448832,0.767106423496335,-25.4969995126954,9.29641094751537e-95,8.98216177745346e-92,205.440324030628
HBA1,-2.50964818444388,0.764356968187314,-25.4237233458172,2.17448344016773e-94,2.06709201607428e-91,204.594891186969
TAL1,-2.12730578500097,1.37791478253042,-25.3349756411876,6.08761398333883e-94,5.60612176484412e-91,203.570644546188
AC104984.5,-2.80640676290688,0.835226286898284,-25.1433780395079,5.62522217137829e-93,5.1006052974876e-90,201.358293439472
